iter	Logloss
0	0.6901617052
1	0.6866240092
2	0.6829464322
3	0.6800845522
4	0.6774173043
5	0.6747734773
6	0.6706030431
7	0.667340358
8	0.6646147221
9	0.6616435284
10	0.6589650371
11	0.655523343
12	0.6535579006
13	0.6516355341
14	0.6495262185
15	0.6463738567
16	0.6432635825
17	0.6398261143
18	0.6373838331
19	0.6351035784
20	0.6322929349
21	0.6303578508
22	0.6278077971
23	0.6261821551
24	0.6227247452
25	0.6202308896
26	0.6180402595
27	0.6160987942
28	0.6132394976
29	0.6117575654
30	0.6098616214
31	0.6082637584
32	0.6063197
33	0.6036202418
34	0.6015918766
35	0.5992357849
36	0.5966826427
37	0.5943917126
38	0.5921922237
39	0.5899429543
40	0.5883949774
41	0.5871280925
42	0.5854028505
43	0.5828212576
44	0.5806029742
45	0.5784453726
46	0.5760074406
47	0.5740785728
48	0.5722948201
49	0.5704769844
50	0.5682419567
51	0.5652261821
52	0.5639992514
53	0.5621870098
54	0.5601190823
55	0.5587605
56	0.5566162854
57	0.555018139
58	0.5538239291
59	0.5515355651
60	0.5496114283
61	0.54762575
62	0.545516672
63	0.5436027494
64	0.5415556511
65	0.5399968844
66	0.5382150913
67	0.5359876685
68	0.5343284896
69	0.5334447212
70	0.5319879796
71	0.5302796444
72	0.5286921609
73	0.5269895078
74	0.5259165333
75	0.5245929728
76	0.5235659894
77	0.5219277211
78	0.520209506
79	0.518277073
80	0.5163983305
81	0.5153009392
82	0.5143507526
83	0.5132519715
84	0.5111791398
85	0.5100011703
86	0.5084677498
87	0.5065871425
88	0.5055357436
89	0.5041389161
90	0.5031737021
91	0.5015455364
92	0.5004017606
93	0.4993581782
94	0.4980869908
95	0.4965639905
96	0.4955595894
97	0.4944597979
98	0.4935370754
99	0.4925506624
100	0.4915770973
101	0.4898838109
102	0.4890875162
103	0.4876764047
104	0.4864985412
105	0.4854491034
106	0.4846001723
107	0.4827893975
108	0.4814612934
109	0.4796840896
110	0.4786950663
111	0.4779086722
112	0.476337894
113	0.4754160656
114	0.4746346523
115	0.4737491277
116	0.4719786839
117	0.4711464325
118	0.4691442093
119	0.4679665001
120	0.4668874438
121	0.4657900681
122	0.4648585169
123	0.4638138765
124	0.4626238628
125	0.4615699465
126	0.4596291871
127	0.4586395404
128	0.4577369992
129	0.457107341
130	0.4554613314
131	0.4546103112
132	0.4533895336
133	0.4528426659
134	0.4516437818
135	0.4507230889
136	0.4495819024
137	0.4484625516
138	0.4475100024
139	0.4458083956
140	0.4447095895
141	0.443762872
142	0.4424869777
143	0.4418176525
144	0.4409421751
145	0.4400266382
146	0.4392705603
147	0.4382542171
148	0.4372435321
149	0.4363706482
150	0.4356063892
151	0.434116642
152	0.4325823879
153	0.4317037905
154	0.4304402856
155	0.4294364411
156	0.4284361772
157	0.4274597793
158	0.4269640046
159	0.4262011315
160	0.4253241705
161	0.4244875716
162	0.4238069009
163	0.4229688662
164	0.4220387207
165	0.421423969
166	0.4206567272
167	0.419763788
168	0.4190443105
169	0.4181785669
170	0.4173223196
171	0.4165760583
172	0.4152393043
173	0.4148241112
174	0.4139271003
175	0.4131851371
176	0.4125608013
177	0.4114250048
178	0.4108403086
179	0.4099141963
180	0.4093347818
181	0.4086321678
182	0.4079581672
183	0.4070027213
184	0.4060579511
185	0.4050817157
186	0.4044104088
187	0.4037340431
188	0.4025588071
189	0.401690375
190	0.4009031035
191	0.4003111398
192	0.4002406618
193	0.3994513682
194	0.3983389901
195	0.3975869948
196	0.3968510521
197	0.3963042982
198	0.3954618059
199	0.3947906975
200	0.3935197188
201	0.3926534323
202	0.3922827962
203	0.3913084689
204	0.3901926862
205	0.3896141913
206	0.3889995566
207	0.3883813561
208	0.3874809139
209	0.386465932
210	0.3858937118
211	0.385142434
212	0.384335652
213	0.3833670827
214	0.3820927695
215	0.3812756116
216	0.3802068113
217	0.3794093391
218	0.3783993527
219	0.3774252121
220	0.3763380345
221	0.3757972604
222	0.3748833856
223	0.3744224021
224	0.3733570082
225	0.3728554789
226	0.3724115847
227	0.3717858821
228	0.3710491765
229	0.3701301594
230	0.3693664536
231	0.3681319114
232	0.3676022248
233	0.3668152837
234	0.3662223312
235	0.3655759109
236	0.3650415703
237	0.3638522565
238	0.3633504597
239	0.3626220234
240	0.3616790927
241	0.360993354
242	0.3600696325
243	0.3588792124
244	0.3580266769
245	0.3574780042
246	0.3567593441
247	0.3559451896
248	0.3550123201
249	0.354434633
250	0.353736738
251	0.352987074
252	0.352426005
253	0.3518400051
254	0.3512804288
255	0.3502298151
256	0.349650868
257	0.3489943743
258	0.348246678
259	0.3477292992
260	0.3470990722
261	0.3461197894
262	0.3453674469
263	0.3449734458
264	0.3443322166
265	0.3433678893
266	0.3428714237
267	0.3422646683
268	0.3415603799
269	0.3414525903
270	0.3407314396
271	0.3399405293
272	0.3392966584
273	0.3388404859
274	0.3384885028
275	0.3376165544
276	0.3366812934
277	0.3361540538
278	0.3355260368
279	0.3349288582
280	0.3345752556
281	0.3341610873
282	0.3335972634
283	0.3328453642
284	0.3324009539
285	0.3319098133
286	0.3313379328
287	0.3308384463
288	0.3303587542
289	0.3299227181
290	0.3294342721
291	0.3291932256
292	0.3287187723
293	0.3282984457
294	0.3277657243
295	0.3273952861
296	0.3269608304
297	0.3264072675
298	0.3256525986
299	0.3253166183
300	0.3249181833
301	0.3244289642
302	0.3239050033
303	0.323244819
304	0.3227408233
305	0.3219215469
306	0.3211811728
307	0.3207505272
308	0.3198968372
309	0.319368322
310	0.3185053733
311	0.317609863
312	0.3171878547
313	0.316503877
314	0.315992099
315	0.315495148
316	0.3146772412
317	0.3143170406
318	0.3139037681
319	0.3134886242
320	0.3130811904
321	0.3122904048
322	0.3119404387
323	0.3112731293
324	0.3108072375
325	0.3102226624
326	0.3099248006
327	0.3095696595
328	0.309094935
329	0.3086618052
330	0.308104358
331	0.3074221997
332	0.3067317215
333	0.3063864467
334	0.3059944653
335	0.3057420422
336	0.3054055194
337	0.3050845802
338	0.3045493229
339	0.3038266526
340	0.3034808018
341	0.3029164313
342	0.3023669842
343	0.3015641082
344	0.3010933904
345	0.3007856536
346	0.3004484641
347	0.2999485944
348	0.2995709787
349	0.2991628232
350	0.2987195283
351	0.2984151652
352	0.2977678516
353	0.2973533473
354	0.2964972673
355	0.2961265106
356	0.2956538209
357	0.2950434568
358	0.2942982366
359	0.2932884059
360	0.292904062
361	0.2924240474
362	0.2914494929
363	0.2910661712
364	0.2904530755
365	0.2901641792
366	0.2897147281
367	0.2892223219
368	0.2887860432
369	0.2883343557
370	0.2877616181
371	0.2872906945
372	0.2865754532
