Date de livraison,Longueur du tronçon en m,Running total
2018-01-01,19.0,8472.0
2018-01-02,19.0,8472.0
2018-01-03,19.0,8472.0
2018-01-04,19.0,8472.0
2018-01-05,19.0,8472.0
2018-01-06,19.0,8472.0
2018-01-07,19.0,8472.0
2018-01-08,19.0,8472.0
2018-01-09,19.0,8472.0
2018-01-10,19.0,8472.0
2018-01-11,19.0,8472.0
2018-01-12,19.0,8472.0
2018-01-13,19.0,8472.0
2018-01-14,19.0,8472.0
2018-01-15,19.0,8472.0
2018-01-16,19.0,8472.0
2018-01-17,19.0,8472.0
2018-01-18,19.0,8472.0
2018-01-19,19.0,8472.0
2018-01-20,19.0,8472.0
2018-01-21,19.0,8472.0
2018-01-22,19.0,8472.0
2018-01-23,19.0,8472.0
2018-01-24,19.0,8472.0
2018-01-25,19.0,8472.0
2018-01-26,19.0,8472.0
2018-01-27,19.0,8472.0
2018-01-28,19.0,8472.0
2018-01-29,19.0,8472.0
2018-01-30,19.0,8472.0
2018-01-31,2.0,8474.0
2018-02-01,2.0,8474.0
2018-02-02,2.0,8474.0
2018-02-03,2.0,8474.0
2018-02-04,2.0,8474.0
2018-02-05,2.0,8474.0
2018-02-06,2.0,8474.0
2018-02-07,2.0,8474.0
2018-02-08,2.0,8474.0
2018-02-09,2.0,8474.0
2018-02-10,2.0,8474.0
2018-02-11,2.0,8474.0
2018-02-12,2.0,8474.0
2018-02-13,2.0,8474.0
2018-02-14,2.0,8474.0
2018-02-15,2.0,8474.0
2018-02-16,2.0,8474.0
2018-02-17,2.0,8474.0
2018-02-18,2.0,8474.0
2018-02-19,2.0,8474.0
2018-02-20,2.0,8474.0
2018-02-21,2.0,8474.0
2018-02-22,2.0,8474.0
2018-02-23,2.0,8474.0
2018-02-24,2.0,8474.0
2018-02-25,2.0,8474.0
2018-02-26,2.0,8474.0
2018-02-27,2.0,8474.0
2018-02-28,2.0,8474.0
2018-03-01,2.0,8474.0
2018-03-02,2.0,8474.0
2018-03-03,2.0,8474.0
2018-03-04,2.0,8474.0
2018-03-05,2.0,8474.0
2018-03-06,2.0,8474.0
2018-03-07,2.0,8474.0
2018-03-08,2.0,8474.0
2018-03-09,2.0,8474.0
2018-03-10,2.0,8474.0
2018-03-11,2.0,8474.0
2018-03-12,2.0,8474.0
2018-03-13,2.0,8474.0
2018-03-14,2.0,8474.0
2018-03-15,2.0,8474.0
2018-03-16,2.0,8474.0
2018-03-17,2.0,8474.0
2018-03-18,2.0,8474.0
2018-03-19,2.0,8474.0
2018-03-20,2.0,8474.0
2018-03-21,2.0,8474.0
2018-03-22,2.0,8474.0
2018-03-23,2.0,8474.0
2018-03-24,2.0,8474.0
2018-03-25,2.0,8474.0
2018-03-26,2.0,8474.0
2018-03-27,2.0,8474.0
2018-03-28,2.0,8474.0
2018-03-29,2.0,8474.0
2018-03-30,24.0,8498.0
2018-03-31,116.0,8614.0
2018-04-01,116.0,8614.0
2018-04-02,116.0,8614.0
2018-04-03,116.0,8614.0
2018-04-04,116.0,8614.0
2018-04-05,116.0,8614.0
2018-04-06,116.0,8614.0
2018-04-07,116.0,8614.0
2018-04-08,116.0,8614.0
2018-04-09,116.0,8614.0
2018-04-10,116.0,8614.0
2018-04-11,116.0,8614.0
2018-04-12,116.0,8614.0
2018-04-13,116.0,8614.0
2018-04-14,116.0,8614.0
2018-04-15,2.0,8616.0
2018-04-16,2.0,8616.0
2018-04-17,2.0,8616.0
2018-04-18,2.0,8616.0
2018-04-19,2.0,8616.0
2018-04-20,2.0,8616.0
2018-04-21,2.0,8616.0
2018-04-22,2.0,8616.0
2018-04-23,2.0,8616.0
2018-04-24,2.0,8616.0
2018-04-25,2.0,8616.0
2018-04-26,2.0,8616.0
2018-04-27,2.0,8616.0
2018-04-28,2.0,8616.0
2018-04-29,2.0,8616.0
2018-04-30,2.0,8616.0
2018-05-01,48.0,8664.0
2018-05-02,48.0,8664.0
2018-05-03,48.0,8664.0
2018-05-04,48.0,8664.0
2018-05-05,48.0,8664.0
2018-05-06,48.0,8664.0
2018-05-07,48.0,8664.0
2018-05-08,48.0,8664.0
2018-05-09,48.0,8664.0
2018-05-10,48.0,8664.0
2018-05-11,48.0,8664.0
2018-05-12,48.0,8664.0
2018-05-13,48.0,8664.0
2018-05-14,48.0,8664.0
2018-05-15,48.0,8664.0
2018-05-16,48.0,8664.0
2018-05-17,48.0,8664.0
2018-05-18,48.0,8664.0
2018-05-19,48.0,8664.0
2018-05-20,48.0,8664.0
2018-05-21,48.0,8664.0
2018-05-22,48.0,8664.0
2018-05-23,48.0,8664.0
2018-05-24,48.0,8664.0
2018-05-25,48.0,8664.0
2018-05-26,48.0,8664.0
2018-05-27,48.0,8664.0
2018-05-28,48.0,8664.0
2018-05-29,48.0,8664.0
2018-05-30,1.0,8665.0
2018-05-31,74.0,8739.0
2018-06-01,74.0,8739.0
2018-06-02,74.0,8739.0
2018-06-03,74.0,8739.0
2018-06-04,74.0,8739.0
2018-06-05,74.0,8739.0
2018-06-06,74.0,8739.0
2018-06-07,74.0,8739.0
2018-06-08,74.0,8739.0
2018-06-09,74.0,8739.0
2018-06-10,74.0,8739.0
2018-06-11,74.0,8739.0
2018-06-12,74.0,8739.0
2018-06-13,74.0,8739.0
2018-06-14,74.0,8739.0
2018-06-15,74.0,8739.0
2018-06-16,74.0,8739.0
2018-06-17,74.0,8739.0
2018-06-18,74.0,8739.0
2018-06-19,74.0,8739.0
2018-06-20,74.0,8739.0
2018-06-21,74.0,8739.0
2018-06-22,74.0,8739.0
2018-06-23,74.0,8739.0
2018-06-24,74.0,8739.0
2018-06-25,74.0,8739.0
2018-06-26,74.0,8739.0
2018-06-27,74.0,8739.0
2018-06-28,74.0,8739.0
2018-06-29,74.0,8739.0
2018-06-30,85.0,8824.0
2018-07-01,85.0,8824.0
2018-07-02,85.0,8824.0
2018-07-03,85.0,8824.0
2018-07-04,85.0,8824.0
