Type;Statut;Complément;Date de réalisation;Longueur;Date de pérennisation;geo_shape;geo_point_2d
Piste cyclable temporaire;Réalisé sud;ligne 4 et RER B;2020-05-07;1033.87651919;;"{""type"": ""LineString"", ""coordinates"": [[2.346790364416221, 48.853081588422434], [2.346776999835684, 48.85306000020347], [2.342158999634611, 48.844537999553445], [2.342045578480295, 48.844326854966795]]}";48.8487047913,2.344416963
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-09;44.03122857;;"{""type"": ""LineString"", ""coordinates"": [[2.327192000003147, 48.883300000071586], [2.327238260170859, 48.88355583930591], [2.327360999507364, 48.883668000180876]]}";48.8834996918,2.32724809056
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-24;474.83020054;;"{""type"": ""LineString"", ""coordinates"": [[2.31656999980609, 48.84679000022513], [2.31066806156457, 48.84504018969056]]}";48.845915095,2.31361903069
Piste cyclable temporaire;Réalisé;ligne 13;2020-06-25;457.63422299;;"{""type"": ""LineString"", ""coordinates"": [[2.323035000459435, 48.865934000155065], [2.32353405820156, 48.866509868165174], [2.325293000661123, 48.86901299971096], [2.325037453729955, 48.86968537756721]]}";48.8677545931,2.32434313699
Piste cyclable temporaire;Réalisé;;2020-07-09;2363.96526924;;"{""type"": ""LineString"", ""coordinates"": [[2.311578977229937, 48.832724649078095], [2.312871315272021, 48.832221508420425], [2.313598652071156, 48.83195098881991], [2.314168024095648, 48.8318233771958], [2.317222938621738, 48.83112102693754], [2.319149413285783, 48.83057280307327], [2.322651610699705, 48.82929877011184], [2.326464242994916, 48.82793121891302], [2.326775575241573, 48.82775574431634], [2.3271860135783218, 48.827857944282584], [2.3303670279608752, 48.82782820569156], [2.332528999327794, 48.827851999727784], [2.334813562996887, 48.82747823332906], [2.336610103775965, 48.827202659606115], [2.34168657870201, 48.826477567068274], [2.3416864885601623, 48.826484705822104]]}";48.8289345085,2.32649332293
Piste cyclable temporaire;A venir;;;826.07568672;;"{""type"": ""LineString"", ""coordinates"": [[2.351869259645921, 48.83679626635483], [2.350646328003814, 48.83853779724955], [2.350411987504012, 48.83856503838917], [2.343426224540433, 48.84128291735701]]}";48.8394040227,2.34794189786
Piste cyclable temporaire;Réalisé sud;ligne 4 et  RER B;2020-05-13;502.96582853;;"{""type"": ""LineString"", ""coordinates"": [[2.349284902217422, 48.85729385034213], [2.348351999500642, 48.85560400025817], [2.346790364416221, 48.853081588422434]]}";48.8551729799,2.348062825
Piste cyclable temporaire;Réalisé;ligne 13;2020-07-03;517.27597866;;"{""type"": ""LineString"", ""coordinates"": [[2.325037453729955, 48.86968537756721], [2.325626523055297, 48.87052664345108], [2.325621626185003, 48.87063267350637], [2.32507443921288, 48.87082708849939], [2.327078412635132, 48.873600983859056], [2.327053127970173, 48.873736327241005]]}";48.871645164,2.32586796939
Piste cyclable temporaire;A venir;;;937.66986668;;"{""type"": ""LineString"", ""coordinates"": [[2.356051999472335, 48.832237999829125], [2.361699462623927, 48.8398019685799]]}";48.8360199842,2.35887573105
Piste cyclable temporaire;Réalisé;ligne 13;2020-07-08;180.5279623;;"{""type"": ""LineString"", ""coordinates"": [[2.327093847375361, 48.87376192472313], [2.326896999706957, 48.87420900020779], [2.326634820136705, 48.875353962339915]]}";48.8745476696,2.32683332411
