Identifiant du compteur,Nom du compteur,Coordonnées géographiques,Postal code
100003096-SC,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338",75014
100003096-SC,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338",75014
100003096-SC,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338",75014
100003096-SC,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338",75014
100003096-SC,97 avenue Denfert Rochereau SO-NE,"48.83511,2.33338",75014
100003097-SC,105 rue La Fayette E-O,"48.877667,2.350556",75010
100003097-SC,105 rue La Fayette E-O,"48.877667,2.350556",75010
100003097-SC,105 rue La Fayette E-O,"48.877667,2.350556",75010
100003097-SC,105 rue La Fayette E-O,"48.877667,2.350556",75010
100003097-SC,105 rue La Fayette E-O,"48.877667,2.350556",75010
100003098-SC,106 avenue Denfert Rochereau NE-SO,"48.83521,2.33307",75014
100003098-SC,106 avenue Denfert Rochereau NE-SO,"48.83521,2.33307",75014
100003098-SC,106 avenue Denfert Rochereau NE-SO,"48.83521,2.33307",75014
100003098-SC,106 avenue Denfert Rochereau NE-SO,"48.83521,2.33307",75014
100003098-SC,106 avenue Denfert Rochereau NE-SO,"48.83521,2.33307",75014
100003099-SC,100 rue La Fayette O-E,"48.87746,2.35008",75010
100003099-SC,100 rue La Fayette O-E,"48.87746,2.35008",75010
100003099-SC,100 rue La Fayette O-E,"48.87746,2.35008",75010
100003099-SC,100 rue La Fayette O-E,"48.87746,2.35008",75010
100003099-SC,100 rue La Fayette O-E,"48.87746,2.35008",75010
100006300-SC,135 avenue Daumesnil SE-NO,"48.843435,2.383378",75012
100006300-SC,135 avenue Daumesnil SE-NO,"48.843435,2.383378",75012
100006300-SC,135 avenue Daumesnil SE-NO,"48.843435,2.383378",75012
100006300-SC,135 avenue Daumesnil SE-NO,"48.843435,2.383378",75012
100006300-SC,135 avenue Daumesnil SE-NO,"48.843435,2.383378",75012
100007049-102007049,28 boulevard Diderot E-O,"48.846028,2.375429",75012
100007049-102007049,28 boulevard Diderot E-O,"48.846028,2.375429",75012
100007049-102007049,28 boulevard Diderot E-O,"48.846028,2.375429",75012
100007049-102007049,28 boulevard Diderot E-O,"48.846028,2.375429",75012
100007049-102007049,28 boulevard Diderot E-O,"48.846028,2.375429",75012
100007049-101007049,28 boulevard Diderot O-E,"48.846028,2.375429",75012
100007049-101007049,28 boulevard Diderot O-E,"48.846028,2.375429",75012
100007049-101007049,28 boulevard Diderot O-E,"48.846028,2.375429",75012
100007049-101007049,28 boulevard Diderot O-E,"48.846028,2.375429",75012
100007049-101007049,28 boulevard Diderot O-E,"48.846028,2.375429",75012
100036718-104036718,39 quai François Mauriac NO-SE,"48.83436,2.377",75013
100036718-104036718,39 quai François Mauriac NO-SE,"48.83436,2.377",75013
100036718-104036718,39 quai François Mauriac NO-SE,"48.83436,2.377",75013
100036718-104036718,39 quai François Mauriac NO-SE,"48.83436,2.377",75013
100036718-104036718,39 quai François Mauriac NO-SE,"48.83436,2.377",75013
100036718-103036718,39 quai François Mauriac SE-NO,"48.83436,2.377",75013
100036718-103036718,39 quai François Mauriac SE-NO,"48.83436,2.377",75013
100036718-103036718,39 quai François Mauriac SE-NO,"48.83436,2.377",75013
100036718-103036718,39 quai François Mauriac SE-NO,"48.83436,2.377",75013
100036718-103036718,39 quai François Mauriac SE-NO,"48.83436,2.377",75013
100036719-104036719,18 quai de l'hotel de ville NO-SE,"48.85372,2.35702",75004
100036719-104036719,18 quai de l'hotel de ville NO-SE,"48.85372,2.35702",75004
100036719-104036719,18 quai de l'hotel de ville NO-SE,"48.85372,2.35702",75004
100036719-104036719,18 quai de l'hotel de ville NO-SE,"48.85372,2.35702",75004
100036719-104036719,18 quai de l'hotel de ville NO-SE,"48.85372,2.35702",75004
100036719-103036719,18 quai de l'hotel de ville SE-NO,"48.85372,2.35702",75004
100036719-103036719,18 quai de l'hotel de ville SE-NO,"48.85372,2.35702",75004
100036719-103036719,18 quai de l'hotel de ville SE-NO,"48.85372,2.35702",75004
100036719-103036719,18 quai de l'hotel de ville SE-NO,"48.85372,2.35702",75004
100036719-103036719,18 quai de l'hotel de ville SE-NO,"48.85372,2.35702",75004
100041488-SC,27 boulevard Diderot E-O,"48.846099,2.375456",75012
100041488-SC,27 boulevard Diderot E-O,"48.846099,2.375456",75012
100041488-SC,27 boulevard Diderot E-O,"48.846099,2.375456",75012
100041488-SC,27 boulevard Diderot E-O,"48.846099,2.375456",75012
100041488-SC,27 boulevard Diderot E-O,"48.846099,2.375456",75012
100042374-110042374,Voie Georges Pompidou NE-SO,"48.8484,2.27586",75016
100042374-110042374,Voie Georges Pompidou NE-SO,"48.8484,2.27586",75016
100042374-110042374,Voie Georges Pompidou NE-SO,"48.8484,2.27586",75016
100042374-110042374,Voie Georges Pompidou NE-SO,"48.8484,2.27586",75016
100042374-110042374,Voie Georges Pompidou NE-SO,"48.8484,2.27586",75016
100042374-109042374,Voie Georges Pompidou SO-NE,"48.8484,2.27586",75016
100042374-109042374,Voie Georges Pompidou SO-NE,"48.8484,2.27586",75016
100042374-109042374,Voie Georges Pompidou SO-NE,"48.8484,2.27586",75016
100042374-109042374,Voie Georges Pompidou SO-NE,"48.8484,2.27586",75016
100042374-109042374,Voie Georges Pompidou SO-NE,"48.8484,2.27586",75016
100044493-SC,67 boulevard Voltaire SE-NO,"48.86149,2.37376",75011
100044493-SC,67 boulevard Voltaire SE-NO,"48.86149,2.37376",75011
100044493-SC,67 boulevard Voltaire SE-NO,"48.86149,2.37376",75011
100044493-SC,67 boulevard Voltaire SE-NO,"48.86149,2.37376",75011
100044493-SC,67 boulevard Voltaire SE-NO,"48.86149,2.37376",75011
100044494-SC,10 avenue de la Grande Armée SE-NO,"48.874716,2.292439",75017
100044494-SC,10 avenue de la Grande Armée SE-NO,"48.874716,2.292439",75017
100044494-SC,10 avenue de la Grande Armée SE-NO,"48.874716,2.292439",75017
100044494-SC,10 avenue de la Grande Armée SE-NO,"48.874716,2.292439",75017
100044494-SC,10 avenue de la Grande Armée SE-NO,"48.874716,2.292439",75017
100044495-SC,7 avenue de la Grande Armée NO-SE,"48.87451,2.29215",75116
100044495-SC,7 avenue de la Grande Armée NO-SE,"48.87451,2.29215",75116
100044495-SC,7 avenue de la Grande Armée NO-SE,"48.87451,2.29215",75116
100044495-SC,7 avenue de la Grande Armée NO-SE,"48.87451,2.29215",75116
100044495-SC,7 avenue de la Grande Armée NO-SE,"48.87451,2.29215",75116
100044506-SC,72 boulevard Voltaire NO-SE,"48.86155,2.37407",75011
100044506-SC,72 boulevard Voltaire NO-SE,"48.86155,2.37407",75011
100044506-SC,72 boulevard Voltaire NO-SE,"48.86155,2.37407",75011
100044506-SC,72 boulevard Voltaire NO-SE,"48.86155,2.37407",75011
100044506-SC,72 boulevard Voltaire NO-SE,"48.86155,2.37407",75011
100047533-SC,89 boulevard de Magenta NO-SE,"48.877686,2.3544712",75010
100047533-SC,89 boulevard de Magenta NO-SE,"48.877686,2.3544712",75010
100047533-SC,89 boulevard de Magenta NO-SE,"48.877686,2.3544712",75010
100047533-SC,89 boulevard de Magenta NO-SE,"48.877686,2.3544712",75010
